구분,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2022년03월30일,2288.62,2230.48,2198.16,2195.95,2147.22,2198.38,2208.95,2203.69,2173.25,2176.00,2219.40,2157.81,2146.68,2175.70,2201.39,2329.43,2212.25
2022년03월31일,2288.32,2230.31,2195.10,2194.98,2147.22,2198.38,2207.95,2202.92,2168.47,2175.47,2220.89,2157.81,2146.68,2179.84,2201.84,2329.43,2212.25
2022년04월01일,2287.34,2230.31,2194.05,2185.84,2147.71,2199.24,2207.90,2201.57,2169.32,2173.79,2219.17,2157.81,2144.21,2179.53,2200.37,2329.43,2212.25
2022년04월02일,2276.99,2227.32,2192.17,2183.00,2145.18,2191.61,2204.90,2192.76,2161.32,2167.63,2217.71,2154.49,2144.21,2172.84,2194.02,2316.57,2208.50
2022년04월03일,2270.93,2227.32,2190.78,2182.84,2145.18,2188.45,2204.90,2191.90,2167.05,2166.47,2215.31,2153.67,2144.21,2172.16,2192.53,2309.67,2208.50
2022년04월04일,2271.28,2226.59,2190.80,2180.72,2145.18,2188.45,2204.90,2190.92,2166.56,2166.47,2216.04,2153.67,2144.21,2172.84,2191.96,2308.00,2208.50
2022년04월05일,2263.20,2221.05,2189.62,2170.27,2142.18,2186.61,2199.90,2187.02,2166.85,2165.16,2211.49,2153.56,2138.50,2172.16,2192.02,2303.71,2208.50
2022년04월06일,2267.33,2220.79,2189.62,2168.56,2140.59,2185.82,2195.50,2186.28,2166.00,2162.95,2209.38,2152.63,2139.96,2171.48,2191.16,2309.43,2208.50
2022년04월07일,2265.48,2220.39,2187.92,2167.45,2136.51,2180.13,2195.30,2184.43,2160.00,2163.74,2208.55,2152.63,2138.14,2170.09,2189.72,2309.43,2208.50
2022년04월08일,2263.56,2220.55,2184.66,2166.27,2139.70,2179.34,2189.30,2182.79,2166.21,2163.74,2203.04,2151.47,2141.36,2168.57,2189.72,2309.43,2208.50
2022년04월09일,2261.33,2219.37,2182.42,2163.25,2138.85,2179.34,2187.10,2182.34,2165.68,2162.68,2202.63,2151.47,2139.93,2168.34,2187.90,2309.43,2208.50
2022년04월10일,2257.89,2217.03,2182.42,2161.75,2138.85,2181.35,2187.10,2181.72,2165.75,2161.89,2204.67,2151.47,2139.93,2171.47,2188.03,2309.43,2221.00
2022년04월11일,2258.50,2214.37,2182.42,2168.11,2138.85,2180.92,2190.60,2181.33,2166.08,2161.63,2206.68,2151.47,2139.57,2168.05,2187.60,2309.43,2207.25
2022년04월12일,2261.02,2215.84,2182.25,2165.15,2138.85,2179.63,2190.60,2180.23,2165.81,2158.74,2203.21,2150.07,2139.57,2165.98,2188.66,2280.86,2207.25
2022년04월13일,2259.34,2216.00,2182.25,2162.82,2138.85,2180.42,2189.95,2178.65,2165.48,2157.42,2200.80,2150.07,2138.14,2166.00,2187.54,2280.86,2207.25
2022년04월14일,2258.70,2216.26,2181.06,2161.40,2138.85,2177.21,2189.95,2176.63,2165.48,2154.62,2198.04,2150.07,2138.14,2165.77,2187.71,2280.86,2205.38
2022년04월15일,2257.53,2215.74,2180.44,2151.70,2138.64,2175.76,2189.45,2175.09,2165.00,2154.82,2197.12,2150.07,2139.21,2166.11,2187.71,2248.00,2205.38
